
=== Top 50 Cumulative Time Entries ===
         175810 function calls (170411 primitive calls) in 0.317 seconds

   Ordered by: cumulative time
   List reduced from 2757 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.062    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/pool/base.py:888(__connect)
    18/16    0.000    0.000    0.060    0.004 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/state_changes.py:95(_go)
        1    0.000    0.000    0.059    0.059 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.059    0.059 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/connection.py:669(connect)
       13    0.000    0.000    0.055    0.004 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/session.py:2099(_connection_for_bind)
       13    0.000    0.000    0.055    0.004 <string>:1(_connection_for_bind)



=== Top 50 Time Entries (excluding subcalls) ===
         175810 function calls (170411 primitive calls) in 0.317 seconds

   Ordered by: internal time
   List reduced from 2757 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.054    0.014    0.054    0.014 {built-in method psycopg2._psycopg._connect}
       20    0.037    0.002    0.037    0.002 {method 'execute' of 'psycopg2.extensions.cursor' objects}
       18    0.035    0.002    0.035    0.002 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.034    0.034    0.034    0.034 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.024    0.024    0.024    0.024 {method 'connect' of '_socket.socket' objects}
        1    0.011    0.011    0.011    0.011 {built-in method _imp.create_dynamic}
       27    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
21529/21525    0.003    0.000    0.005    0.000 {built-in method builtins.isinstance}
        8    0.002    0.000    0.002    0.000 {method 'rollback' of 'psycopg2.extensions.connection' objects}
 2791/666    0.002    0.000    0.008    0.000 {built-in method builtins.any}
      369    0.002    0.000    0.007    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:2491(_signature_from_callable)
     7644    0.002    0.000    0.005    0.000 /Users/tombedor/development/elroy/elroy/repository/embeddable.py:59(<genexpr>)
    38/31    0.001    0.000    0.020    0.001 {built-in method builtins.exec}
      615    0.001    0.000    0.004    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/prompt_toolkit/key_binding/key_bindings.py:289(decorator)
    96/20    0.001    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:512(_parse)
        1    0.001    0.001    0.001    0.001 {method 'commit' of 'psycopg2.extensions.connection' objects}
     7222    0.001    0.000    0.003    0.000 /Users/tombedor/development/elroy/elroy/repository/embeddable.py:15(is_in_context_message)
2233/1763    0.001    0.000    0.004    0.000 {built-in method builtins.hasattr}
       25    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      428    0.001    0.000    0.002    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/state.py:701(_expire)
      484    0.001    0.000    0.004    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/loading.py:1067(_instance)
